contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250512C04800000,2025-04-04 18:39:15+00:00,4800.0,440.13,620.4,648.4,0.0,0.0,2,0,0.4772124117660523,True,REGULAR,USD
SPXW250512C05000000,2025-04-08 14:09:11+00:00,5000.0,375.16,451.8,479.8,0.0,0.0,2,218,0.4295024701690674,True,REGULAR,USD
SPXW250512C05100000,2025-04-08 19:44:00+00:00,5100.0,176.94,372.8,400.8,0.0,0.0,2,6,0.4065420369338989,True,REGULAR,USD
SPXW250512C05200000,2025-04-11 16:55:46+00:00,5200.0,303.03,298.2,326.2,32.97,12.208399,1,346,0.383795224609375,True,REGULAR,USD
SPXW250512C05300000,2025-04-11 16:55:46+00:00,5300.0,234.0,228.9,256.9,18.179993,8.423683,2,77,0.3611590373992919,True,REGULAR,USD
SPXW250512C05400000,2025-04-10 19:58:45+00:00,5400.0,144.25,165.8,193.8,2.3399963,1.6489297,3,12,0.338313043937683,False,REGULAR,USD
SPXW250512C05450000,2025-04-10 18:32:23+00:00,5450.0,131.43,137.7,165.0,0.0,0.0,4,27,0.32688813987731935,False,REGULAR,USD
SPXW250512C05500000,2025-04-11 15:56:12+00:00,5500.0,100.63,111.5,137.2,10.93,12.185061,4,10,0.3137351952362061,False,REGULAR,USD
SPXW250512C05600000,2025-04-11 14:53:40+00:00,5600.0,74.53,71.2,86.2,25.129997,50.870438,4,9,0.28309966785430907,False,REGULAR,USD
SPXW250512C05625000,2025-04-11 20:05:21+00:00,5625.0,68.19,61.5,76.5,19.220001,39.24852,33,6,0.2779536927032471,False,REGULAR,USD
SPXW250512C05650000,2025-04-11 19:49:43+00:00,5650.0,56.2,52.5,67.5,10.850002,23.925034,414,501,0.2729336013031005,False,REGULAR,USD
SPXW250512C05675000,2025-04-11 19:49:11+00:00,5675.0,48.0,44.3,59.3,16.73,53.501755,97,35,0.2682568292236328,False,REGULAR,USD
SPXW250512C05700000,2025-04-11 20:05:21+00:00,5700.0,43.72,36.8,51.8,18.730001,74.94999,11,40,0.2637479021453857,False,REGULAR,USD
SPXW250512C05725000,2025-04-11 19:59:47+00:00,5725.0,35.0,30.1,45.1,6.8500004,24.333927,39,1,0.25967766086578375,False,REGULAR,USD
SPXW250512C05750000,2025-04-11 15:38:36+00:00,5750.0,24.0,24.2,39.2,-9.189999,-27.68906,4,44,0.2561376572036744,False,REGULAR,USD
SPXW250512C05800000,2025-04-11 18:52:38+00:00,5800.0,22.7,21.0,23.6,8.6,60.99291,38,117,0.2336197244262695,False,REGULAR,USD
SPXW250512C05900000,2025-04-11 19:45:30+00:00,5900.0,9.4,9.0,11.0,3.3999996,56.66666,47,29,0.2205659609222412,False,REGULAR,USD
SPXW250512C06000000,2025-04-11 17:09:28+00:00,6000.0,4.5,3.6,5.2,1.0,28.57143,184,45,0.21498892929077146,False,REGULAR,USD
SPXW250512C06200000,2025-04-11 19:53:07+00:00,6200.0,1.25,0.65,1.7,-0.049999952,-3.8461502,23,15,0.22339643798828124,False,REGULAR,USD
